tconst,primaryTitle,averageRating,numVotes,startYear,genres
tt0099611,Frankenhooker,6.2,12571,1990,"Comedy,Horror,Sci-Fi"
tt0099612,Frankenstein Unbound,5.4,4028,1990,"Drama,Horror,Sci-Fi"
tt0099615,The Freshman,6.5,21556,1990,"Comedy,Crime"
tt0099623,Funny About Love,4.8,1540,1990,"Comedy,Romance"
tt0099629,Curry and Pepper,6.5,1028,1990,"Action,Comedy"
tt0099634,The Garden,6.4,1089,1990,Drama
tt0099636,Gate 2: The Trespassers,4.8,2554,1990,"Comedy,Fantasy,Horror"
tt0099637,A Cat in the Brain,5.5,3664,1990,"Comedy,Fantasy,Horror"
tt0099652,Ghayal,7.7,4958,1990,"Action,Crime,Drama"
tt0099653,Ghost,7.1,229568,1990,"Drama,Fantasy,Romance"
tt0099654,Ghost Dad,4.4,8336,1990,"Comedy,Family,Fantasy"
tt0099669,My Father's Glory,7.6,6866,1990,"Adventure,Biography,Drama"
tt0099673,"Good Evening, Mr. Wallenberg",6.5,1031,1990,"Biography,Drama,War"
tt0099674,The Godfather Part III,7.6,414930,1990,"Crime,Drama"
tt0099685,Goodfellas,8.7,1219406,1990,"Biography,Crime,Drama"
tt0099691,Graffiti Bridge,4.4,2215,1990,"Drama,Music"
tt0099697,Graveyard Shift,4.9,12295,1990,Horror
tt0099699,Green Card,6.3,25462,1990,"Comedy,Drama,Romance"
tt0099700,Gremlins 2: The New Batch,6.4,109896,1990,"Comedy,Fantasy,Horror"
tt0099701,The Rift,4.7,2600,1990,"Action,Adventure,Horror"
tt0099703,The Grifters,6.9,29672,1990,"Crime,Drama,Thriller"
tt0099704,Grim Prairie Tales,5.4,1083,1990,"Horror,Western"
tt0099710,The Guardian,5.4,6229,1990,"Drama,Fantasy,Horror"
tt0099720,Guns,4.4,1434,1990,Action
tt0099726,Hamlet,6.7,23264,1990,Drama
tt0099729,Hamoun,7.9,7070,1990,Drama
tt0099731,The Handmaid's Tale,6.0,10358,1990,"Drama,Romance,Sci-Fi"
tt0099739,Hard to Kill,5.8,31684,1990,"Action,Crime,Drama"
tt0099740,Hardware,5.9,16137,1990,"Sci-Fi,Thriller"
tt0099747,Havana,6.1,8394,1990,"Drama,Romance,War"
tt0099750,Heart Condition,5.5,3905,1990,"Comedy,Crime,Drama"
tt0099753,Heaven and Earth,6.8,1109,1990,"Action,Adventure,Drama"
tt0099762,Henry & June,6.3,13937,1990,"Biography,Drama"
tt0099768,Hidden Agenda,6.9,4472,1990,"Drama,Thriller"
tt0099776,Europa Europa,7.6,17170,1990,"Drama,History,War"
tt0099785,Home Alone,7.7,614273,1990,"Comedy,Family"
tt0099797,The Hot Spot,6.4,13051,1990,"Crime,Drama,Romance"
tt0099800,House Party,6.5,16302,1990,"Comedy,Music,Romance"
